CustomerID,Age,Gender,Tenure_Months,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Churn,Duplicate_Check
1,56,Male,40,41393.42,3,1,1,101505.9,0,1
2,69,Male,45,39385.65,2,1,0,125091.33,0,1
3,46,Male,62,31221.27,2,0,1,99514.03,0,1
4,32,Female,58,24724.06,3,0,1,58447.18,0,1
5,60,Male,67,48977.54,3,1,1,53246.68,0,1
6,25,Male,56,7248.25,4,0,1,62564.72,0,1
7,38,Male,40,36257.79,1,0,0,41400.67,0,1
8,56,Female,40,9559.54,1,1,1,43552.34,0,1
9,36,Female,33,16913.16,4,0,0,122789.84,0,1
10,40,Male,6,15434.94,2,1,1,70015.23,0,1
11,28,Male,19,47351.8,3,1,0,76679.37,0,1
12,28,Male,40,48367.81,3,1,0,97226.43,0,1
13,41,Male,59,9150.77,3,1,1,96654.95,0,1
14,53,Female,59,1101.76,2,1,1,28758.99,0,1
15,57,Female,48,36000.4,3,0,1,128100.3,0,1
16,41,Female,41,20899.5,3,1,0,43052.45,0,1
17,20,Female,13,4442.01,4,0,1,113999.31,0,1
18,39,Male,45,34187.71,2,1,1,120447.23,0,1
19,19,Male,53,27255.28,1,1,0,112936.94,0,1
20,41,Male,42,49025.84,4,1,1,95267.09,0,1
21,61,Female,63,11370.47,4,0,0,21899.17,0,1
22,47,Male,27,20198.89,1,1,1,66848.81,0,1
23,55,Female,38,27127.29,4,1,0,98629.13,0,1
24,19,Female,60,39585,2,1,0,70368.67,0,1
25,38,Male,7,27441.93,3,1,1,132252.39,0,1
26,50,Male,5,30645.01,2,0,0,60144.3,0,1
27,29,Male,45,11307.35,1,1,1,58159.52,0,1
28,39,Female,58,42345.94,1,0,1,54579.7,0,1
29,61,Male,31,21431.53,4,1,0,63261.51,0,1
30,42,Female,23,7047.98,2,0,1,92462.65,0,1
31,66,Male,42,33209.4,2,0,0,111911.99,0,1
32,44,Female,10,10804.52,1,1,0,106133.83,0,1
33,59,Female,32,4878.13,2,1,0,125003.32,0,1
34,45,Male,53,43099.35,1,0,0,135168.82,0,1
35,33,Female,30,23008.11,2,1,0,126090.28,0,1
36,32,Female,39,37464.19,2,1,0,22462.9,0,1
37,64,Male,31,14529.38,2,1,0,115669.33,0,1
38,68,Female,2,39348.51,1,0,0,47091.94,0,1
39,61,Male,12,5596.8,4,1,1,37280.65,0,1
40,69,Female,39,17798.67,2,1,1,103003.54,0,1
41,20,Male,66,48903.09,1,1,0,61566.62,0,1
42,54,Male,13,39699.49,1,0,1,27425.23,0,1
43,68,Female,46,24862.8,2,1,1,37891.87,0,1
44,24,Female,27,16988.87,2,0,1,20120.82,0,1
45,38,Female,17,43606.79,4,1,1,137419.07,0,1
46,26,Female,60,27242.39,1,0,1,23200.34,0,1
47,56,Female,64,37921.25,1,1,1,47229.25,0,1
48,35,Male,35,37705.38,3,1,0,74114.16,0,1
49,21,Female,70,897.28,1,0,1,66354.27,0,1
50,42,Male,30,6312.69,4,0,1,138524.36,0,1
51,31,Male,71,32981.47,3,0,1,25237.56,0,1
52,67,Female,63,8080.99,3,1,1,86587.91,0,1
53,26,Male,28,12774.67,3,1,0,108462.33,0,1
54,43,Male,60,47331.9,2,1,0,141120.74,0,1
55,19,Male,37,28009.11,2,1,0,100648.26,0,1
56,37,Male,22,37536.48,1,0,0,124488.18,0,1
57,45,Female,68,27899.04,3,1,1,30884.24,0,1
58,64,Male,20,27625.68,4,1,0,70172.14,0,1
59,24,Female,68,4707.6,2,1,0,68613.13,0,1
60,61,Female,64,17183.16,4,1,0,135217.47,0,1
61,25,Male,17,14121.54,4,1,0,39678.25,0,1
62,64,Female,12,19536.42,2,1,1,39745.2,0,1
63,52,Female,22,39917.21,2,1,0,62712.56,0,1
64,31,Female,17,18596.63,2,0,1,27080.59,0,1
65,34,Male,10,22584.84,2,1,0,43719.55,0,1
66,53,Female,65,19869.07,3,1,1,145477.25,0,1
67,67,Female,22,4670.4,3,1,1,75663.91,0,1
68,57,Female,50,22053.61,3,1,0,102162.5,0,1
69,21,Male,14,9780.46,3,0,0,114394.46,0,1
70,19,Female,64,9336.16,1,0,0,67704.98,0,1
71,23,Male,47,4701.81,3,0,0,39139.52,0,1
72,59,Male,29,17833.55,2,0,1,46855.53,0,1
73,21,Male,36,37874.09,4,0,1,60724.64,0,1
74,46,Male,52,13822.08,3,0,0,102688.89,0,1
75,35,Male,7,15617.46,1,1,0,71776.47,0,1
76,43,Male,29,32133.73,2,0,1,20885.91,0,1
77,61,Female,11,9792.04,4,0,0,88042.93,1,1
78,51,Male,33,44847.9,4,1,1,139796.74,0,1
79,27,Female,6,26009.53,3,0,0,125570.09,0,1
80,53,Female,32,22380.15,4,1,1,127277.48,0,1
81,31,Male,51,27891.01,3,1,1,123357.54,0,1
82,48,Female,58,8301.72,3,0,1,62085.01,0,1
83,65,Female,26,30673.66,2,1,1,119475.2,0,1
84,32,Female,46,18155.04,2,0,1,38610.98,0,1
85,25,Female,29,44859.32,1,0,0,105503.1,0,1
86,31,Male,4,8442.71,2,1,1,103403.91,0,1
87,40,Female,13,25352.56,2,1,0,23324.07,0,1
88,57,Male,39,29905.63,3,0,1,122436.12,0,1
89,38,Female,15,1669.18,2,1,1,137422.25,0,1
90,33,Female,29,18184.66,3,1,0,54763.99,0,1
91,62,Male,29,36631.76,3,0,0,125610.79,0,1
92,35,Female,32,41018.88,2,0,0,30712.78,0,1
93,64,Female,2,15658.1,1,1,0,97995.82,0,1
94,41,Female,47,39929.66,1,0,1,83134.09,0,1
95,43,Male,22,48387.79,4,0,0,90970.06,0,1
96,42,Female,27,42843.7,4,0,1,140406.68,0,1
97,62,Male,67,5882.2,2,0,0,133270.98,0,1
98,58,Female,56,36986.52,1,0,0,122060.88,0,1
99,46,Male,21,15983.34,3,0,1,55580.8,0,1
100,32,Male,47,49420.8,4,0,1,138536.42,0,1
101,62,Female,59,24267.95,3,1,0,32676,0,1
102,18,Female,6,6121.69,4,0,1,130932.8,0,1
103,42,Male,19,36259.28,2,1,1,62660.81,0,1
104,24,Male,57,16150.56,1,1,1,26990.4,0,1
105,26,Female,69,49853.91,4,1,1,107016.41,0,1
106,41,Male,3,48989.12,1,0,1,50066.39,0,1
107,18,Female,1,32806.7,3,0,1,51664.25,0,1
108,61,Female,58,6491.32,2,1,1,59786.13,0,1
109,25,Female,38,34343.05,1,0,1,28279.02,0,1
110,41,Female,15,4651.52,2,1,0,43026.53,0,1
111,28,Male,34,1468.21,1,0,1,20668.15,0,1
112,68,Female,61,41147.92,3,0,0,77903.24,0,1
113,34,Male,35,10487.65,3,1,1,30953.2,0,1
114,25,Female,64,18951.36,2,1,1,108744.84,0,1
115,52,Male,25,48672.87,3,1,1,50630.97,0,1
116,52,Female,24,16842.03,4,0,1,142664.64,0,1
117,50,Male,12,14824.49,1,1,0,133262.71,0,1
118,22,Male,18,45910.4,3,0,0,57627.32,0,1
119,59,Female,15,5537.42,4,0,1,121818.01,0,1
120,56,Female,27,37979.12,2,0,0,124421.84,0,1
121,58,Female,60,49403.28,4,1,1,148253.2,0,1
122,45,Female,46,45064.8,2,1,1,97719.2,0,1
123,24,Male,17,32583.4,2,1,0,30655.55,0,1
124,26,Female,53,15703.04,1,0,0,104088.84,0,1
125,25,Male,8,12716.1,1,0,1,101247.37,0,1
126,29,Male,27,40962.76,4,1,1,102985.58,0,1
127,51,Female,46,43991.1,1,0,0,59928.93,0,1
128,50,Male,50,26271.75,1,0,1,131758.35,0,1
129,65,Male,71,12217,1,1,0,144731.38,0,1
130,40,Male,3,5647.16,4,1,1,48302.63,0,1
131,41,Male,64,4358.97,3,1,1,31459.78,0,1
132,54,Female,44,35953.87,1,0,0,45289.55,0,1
133,52,Female,53,21005.94,1,0,0,126671.78,0,1
134,61,Female,24,45267.99,4,0,0,107963.8,0,1
135,57,Female,60,36983.57,3,0,1,102686.15,0,1
136,39,Male,3,9563.02,1,0,1,72233.11,0,1
137,44,Male,20,30688.87,2,1,1,95117.64,0,1
138,52,Female,46,21775.27,4,0,1,60023.64,0,1
139,18,Female,15,28862.49,1,0,0,82036.01,0,1
140,52,Female,25,36903.46,1,0,1,123098.19,0,1
141,54,Male,71,40309.79,2,1,1,147561.41,0,1
142,64,Female,17,42186.87,2,1,1,141223.56,0,1
143,31,Female,9,12698.74,4,1,0,141402.57,0,1
144,20,Female,38,1555.78,4,0,1,72289.09,0,1
145,18,Male,48,36964.74,2,1,1,80942.68,0,1
146,22,Male,60,5317.19,4,1,0,111732.6,0,1
147,43,Male,63,15745.98,2,1,1,139884.95,0,1
148,31,Male,2,190.86,1,0,1,38459.25,0,1
149,56,Male,11,34083.47,2,1,0,59551.44,0,1
150,44,Male,64,8356.6,2,0,1,38102.09,0,1
151,26,Male,21,32764.12,3,0,1,99561.11,0,1
152,32,Male,18,49587.13,2,1,1,59819.13,0,1
153,32,Female,64,3633.54,2,0,0,62394.02,0,1
154,43,Female,38,3853.9,3,1,1,29219.07,0,1
155,59,Male,32,17019,4,0,1,65473.49,0,1
156,30,Male,11,43319.33,3,1,0,132124.55,0,1
157,68,Female,45,10776.49,1,1,0,50299.47,0,1
158,49,Male,33,18018.89,3,1,1,110374.37,0,1
159,56,Male,41,3425.27,1,0,1,101851.68,0,1
160,66,Male,8,38157.76,4,1,1,132253,0,1
161,69,Female,11,20415.32,3,0,1,37197.43,0,1
162,49,Female,51,37962.44,3,1,0,147086.69,0,1
163,21,Female,41,45180.39,4,0,1,95741.72,0,1
164,47,Female,17,11638.16,1,0,0,149411.64,0,1
165,54,Female,46,40369.8,3,1,0,138496.91,0,1
166,40,Male,32,2954.69,1,1,1,48797.25,0,1
167,56,Female,54,44942.37,3,1,1,27301.06,0,1
168,62,Male,20,32538.43,2,1,0,53233.08,0,1
169,32,Male,33,43711.34,3,1,0,88583.27,0,1
170,60,Female,40,9.42,4,0,1,42307.53,0,1
171,46,Female,32,8454.05,4,1,0,41769.77,0,1
172,53,Male,2,19487.97,1,1,1,80137.16,0,1
173,30,Male,33,18975.15,3,0,1,24324.84,0,1
174,49,Male,30,11336.52,1,1,0,35845.45,0,1
175,24,Female,33,19080.6,1,1,0,74061.97,0,1
176,68,Female,26,6442.44,2,0,1,28206.89,0,1
177,39,Female,22,20638.06,2,1,0,71578.16,0,1
178,45,Female,66,40117.72,4,1,1,81620.81,0,1
179,19,Female,38,23953.5,1,1,1,78664.66,0,1
180,59,Male,46,900,4,0,1,132992.73,0,1
181,62,Female,15,21072.2,3,1,0,88908.12,0,1
182,23,Male,44,1358.75,1,0,1,80837.46,0,1
183,45,Male,49,48312.17,1,1,1,73392.2,0,1
184,45,Male,61,6372.7,3,0,1,126291.04,0,1
185,61,Female,67,35384.42,3,1,1,136357.36,0,1
186,61,Female,6,48638.82,4,0,1,130921.52,0,1
187,37,Female,9,41301.95,4,0,1,107561.06,0,1
188,47,Male,6,34965.77,3,0,1,37857.03,0,1
189,28,Male,32,41973.05,4,0,1,55993.1,0,1
190,45,Male,41,49089.93,3,0,1,25988.2,0,1
191,42,Male,8,31067.22,1,0,1,141007.13,0,1
192,56,Male,50,27959.24,1,1,1,105903.81,0,1
193,50,Male,62,31411.91,2,1,0,117027.17,0,1
194,18,Female,62,26633.79,1,0,1,60504.33,0,1
195,44,Female,7,31754.46,3,0,1,129934.96,0,1
196,69,Female,4,22492.11,4,0,1,53748.43,0,1
197,30,Female,6,10922.16,2,0,0,20213.69,0,1
198,58,Male,58,6012.36,4,1,1,68933.95,0,1
199,20,Male,22,3417.05,3,0,0,94198.99,0,1
200,56,Female,26,13165.79,1,1,1,82231.63,0,1
201,23,Male,3,2306.18,2,1,1,132069.9,0,1
202,25,Female,41,28358.54,3,0,0,33702.69,0,1
203,44,Female,60,14191.42,2,0,1,91997.05,0,1
204,26,Female,14,41226.74,2,1,0,86687.32,0,1
205,54,Male,12,3712.04,1,1,0,56581.09,0,1
206,50,Female,12,11317.57,3,0,1,126889.65,0,1
207,68,Female,13,36512.31,4,0,1,117870.33,0,1
208,59,Female,25,29940.41,2,0,1,115271.69,0,1
209,61,Male,45,3224.56,2,1,1,133905.02,0,1
210,41,Male,19,43861.97,4,1,0,113962,0,1
211,32,Female,55,43863.09,3,0,0,50139.37,0,1
212,49,Male,45,16520.4,2,1,1,111723.15,0,1
213,49,Male,8,17020.29,2,1,0,60001.37,0,1
214,41,Male,53,49451.42,2,0,0,51482.7,0,1
215,58,Male,55,31308.81,3,0,1,29490.47,0,1
216,69,Male,32,26565.83,3,1,0,116723.72,0,1
217,66,Male,51,41907.61,4,1,0,112430.13,0,1
218,66,Male,44,14264.52,3,0,1,50484.93,0,1
219,69,Male,70,21459.13,3,0,0,117419.27,0,1
220,29,Male,18,13388.83,1,0,1,139319.31,0,1
221,56,Male,22,39458.04,4,0,0,34043.76,0,1
222,19,Female,37,28667.47,2,0,1,50242.76,0,1
223,20,Female,56,32941.25,3,1,0,117533.9,0,1
224,66,Male,59,12615.36,2,1,0,55685.87,0,1
225,54,Female,3,11011.27,2,1,1,101206.32,0,1
